Nom;Sigle;dep.;Ville;Joueurs;Age;Jeune;Sénior;Vétéran;  N  ;  R  ;  D  ;  P  ; NC ;Matchs;Points;Ecole
Us Acignolaise De Badminton;USAB;35;Acigné;57;28.4;21;15;21;;;;4;53;0;10.64;0
Union Sportive d'Alfortville;USA;94;Alfortville;0;0.0;0;0;0;;;;;;0;0;0
UnaNîm'Bad;UNB;30;Nîmes;71;33.4;1;38;32;2;21;10;18;20;219;17869.1;0
Ums Pontault-combault;UMSPC;77;Pontault-Combault;135;27.1;51;40;44;1;14;28;31;61;91;14424.6;455
Union Montilienne Sportive Badminton;UMS;26;Montélimar;158;29.2;47;56;55;1;8;26;50;73;116;6278.04;0
Ujap Badminton Quimper;UJAPBQ;29;Quimper;162;22.5;86;46;30;10;15;27;47;63;497;53673;616
Union Frat. et Sport. de Vaucresson Badminton;UFSVM;92;Vaucresson;68;26.0;37;9;22;;;2;8;58;0;126.51;0
Union Cosnoise Sportive Esprit Bad;UCS;58;Cosne-Cours-sur-Loire;81;31.3;27;15;39;;2;9;23;47;49;949.26;165
Union Et Concorde Bricquebec;UCBB;50;Bricquebec;112;24.4;54;29;29;;13;14;38;47;266;5936.58;220
Union Badminton Club de la Baie;UBCB;50;Avranches/St Hilaire/Sartilly/Is;202;24.4;89;61;52;8;18;34;44;98;537;53115.3;605
Ussel Badminton Club;UBAC;19;Ussel;35;28.3;9;16;10;;3;9;10;13;41;1469.19;180
Union du Badminton de l'Agglomération Albigeoise;UBAA;81;Albi;137;24.2;66;35;36;2;19;18;21;77;160;17770.4;363
Uzes Badminton;UB;30;Uzès;119;28.0;48;21;50;;2;30;22;65;29;1921.53;0
Union Athlétique Société Générale;UASGB;44;Nantes;10;39.2;0;3;7;;;;5;5;0;15.24;0
Union Associative et Sportive Badminton;UASB;92;Saint-Cloud;41;28.5;15;11;15;;;1;14;26;26;44.38;0
Trait d'Union de Verrières le Buisson;TUVBBAD;91;Verrières-le-Buisson;1;47.0;0;0;1;;;;;1;0;0;0
Trait Union Etoile St Germain;TUESG;78;Saint-Germain-en-Laye;123;25.0;58;32;33;;;4;14;105;0;149.81;0
Toulouse Université Club badminton;TUCB;31;Toulouse;191;29.4;2;153;36;;19;53;50;69;367;10714;0
Tennis Unis de Bondues;TUB;59;Bondues;0;0.0;0;0;0;;;;;;0;0;0
Tennis Squash Badminton Valenciennes;TSBV;59;Valenciennes;0;0.0;0;0;0;;;;;;0;0;0
Tennis Squash Badminton Jarville;TSB;54;Jarville-la-Malgrange;207;26.1;92;55;60;7;7;28;33;132;452;31502.1;611
Tagnon Sports Badminton;TSB;08;Tagnon;81;22.0;39;22;20;;3;20;22;36;98;2401.36;370
Tregor Badminton;TRB;22;Lannion;130;24.0;64;26;40;;4;20;35;71;151;1814.95;385
Toulouse Olympique Aerospatiale Club;TOAC;31;Toulouse;58;29.6;12;29;17;11;10;14;10;13;147;63548;210
Toulouse Métropole Badminton Club;TMBC;31;Toulouse;109;20.5;58;37;14;1;4;8;12;84;12;7242.09;282
Le Till'Bad;TILLBAD;49;Tillières;15;17.7;12;0;3;;;;5;10;13;26.5;0
TiBad;TIBAD;971;Baie-Mahault;149;28.7;47;41;61;;10;12;48;79;34;4451.08;410
Tamis Guilherandais en Vivarais Badminton;TGV07;07;Guilherand-Granges;76;23.9;41;11;24;;4;16;19;37;98;1282.42;185
Troyes Gymnique Badminton;TGBAD;10;Troyes;12;58.3;0;0;12;;;;;12;0;0;0
Tennis Club Saint Martinois;TCSM;69;Saint-Martin-en-Haut;73;26.2;36;11;26;;1;2;14;56;30;248.28;0
Tamari Club Messei Badminton;TCMB;61;Messei;39;27.2;16;8;15;;;9;13;17;55;603.28;180
Tennis Club Fleury;TCF;57;Fleury;0;0.0;0;0;0;;;;;;0;0;0
Tennis Club d'Annoeullin;TCA;59;Annoeullin;67;23.6;40;8;19;;;2;11;54;17;102.1;0
Ton Bad à Spay Min Club;TBSMC;72;Spay;146;27.4;52;45;49;8;17;28;34;59;276;37113.7;405
The Bad Montils;TBM;41;Les Montils;0;0.0;0;0;0;;;;;;0;0;0
Tennis Badminton La Mezière;TBLM;35;La Mézière;84;28.5;28;24;32;;;2;25;57;7;178.7;0
Tennis Badminton Club de Foug;TBCFOUG;54;Foug;7;38.9;0;2;5;;;;7;;15;58.96;0
Thonon Badminton Club;TBC74;74;Thonon-les-Bains;200;25.9;93;47;60;;13;22;40;125;114;8467.03;430
Tarare Badminton Club;TBC69;69;Tarare;88;28.7;30;28;30;;4;9;29;46;40;1657.83;155
Touvet Badminton Club;TBC38;38;Le Touvet;126;25.7;68;18;40;;3;4;44;75;38;1527.14;472
Tregunc Badminton Club;TBC;29;Trégunc;52;25.2;20;16;16;3;12;12;20;5;279;17110.6;260
Treillieres Badminton Club;TBC;44;Treillières;121;29.5;39;28;54;;2;19;37;63;69;1381.61;235
Triel Badminton Club;TBC;78;Triel-sur-Seine;106;27.3;45;22;39;;3;3;26;74;24;1230.86;175
Thiviers Badminton Club;TBC;24;Thiviers;21;34.9;0;13;8;;1;2;4;14;3;164.18;0
Talant Badminton Club;TBC;21;Talant;39;33.1;7;14;18;;;2;19;18;6;104.1;0
Tourcoing Badminton Club;TBC;59;Tourcoing;0;0.0;0;0;0;;;;;;0;0;0
Torcy Badminton Club;TBAC;77;Torcy;59;32.9;13;18;28;;;3;17;39;5;136.42;0
Tournus Badminton;TB;71;Tournus;62;28.9;21;12;29;;4;12;12;34;105;1446.36;137
Thouarce Badminton;TB;49;Thouarcé;57;18.2;44;2;11;;;10;6;41;36;253.7;325
Théo Bad;TB;36;Villedieu-sur-Indre;18;38.2;1;4;13;;;;3;15;0;3.1;0
Tissu Associatif de Quincampoix;TAQUIN;76;Quincampoix;50;31.9;14;12;24;;2;13;17;18;10;1356.87;0
Ligue TAHITI;TAHI;98;papeete;0;0.0;0;0;0;;;;;;0;0;0
Tremblay Athletic Club Badminton;TACB;93;Tremblay-en-France;101;35.2;20;30;51;2;9;11;47;32;87;14392.1;160
Tennis Angoulins Club;TAC;17;Angoulins;11;36.4;1;4;6;;;;5;6;0;22.07;0
La Souchezoise;SZ;62;Souchez;13;31.3;0;7;6;;;4;8;1;20;251.75;0
